Row Labels,Sum of Count_new2
H-CC-0001,
H-CC-0002,0
H-CC-0003,1
H-CC-0004,
H-CC-0005,
H-CC-0006,
H-CC-0007,2
H-CC-0008,
H-CC-0009,
H-CC-0010,
H-CC-0011,
H-CC-0012,
H-CC-0013,0
H-CC-0014,
H-CC-0015,5
H-HR-0001,1
H-HR-0002,5
H-HR-0004,0
H-HR-0005,
H-HR-0006,5
H-HR-0007,2
H-HR-0008,1
H-HR-0009,0
H-HR-0011,5
H-HR-0012,0
H-HR-0014,0
H-HR-0016,1
H-HR-0017,0
H-HR-0018,0
H-HR-0020,2
H-HR-0021,2
H-HR-0022,22
H-HR-0023,0
H-MF-0001,
H-MF-0002,
H-MF-0003,
H-MF-0004,
H-MF-0005,
H-MF-0006,
H-MF-0007,
H-MF-0008,
H-MF-0009,
H-MF-0010,
H-PR-0001,10
H-PR-0002,0
H-PR-0003,25
H-PR-0004,0
H-PR-0005,0
H-PR-0006,18
H-PR-0007,0
H-PR-0008,0
H-PR-0009,5
H-PR-0010,0
H-PR-0011,6
H-PR-0012,8
H-PR-0013,
H-PR-0014,
H-PR-0015,
H-PR-0016,
H-PR-0017,
H-PR-0018,
H-PR-0019,
H-PR-0020,
H-PR-0021,
H-PR-0022,0
H-PR-0023,
H-PR-0024,
H-PR-0025,0
H-PR-0026,
H-PR-0027,0
H-PR-0028,1
H-PR-0029,10
H-PR-0030,0
H-PR-0031,9
H-PR-0032,12
H-PR-0033,6
H-PR-0034,0
H-PR-0035,12
H-PR-0036,8
H-PR-0037,
H-PR-0038,1
H-PR-0039,5
H-PR-0040,0
H-PR-0041,
H-PR-0042,1
H-PR-0043,0
H-PR-0044,
H-PR-0045,0
H-PR-0046,3
H-PR-0047,0
H-PR-0048,3
H-PR-0049,0
H-PR-0050,8
H-PR-0051,1
H-PR-0052,0
H-PR-0053,1
H-PR-0054,1
H-PR-0055,15
H-PR-0056,5
H-PR-0057,5
H-PR-0058,3
H-PR-0059,12
H-PR-0060,9
H-PR-0061,9
H-PR-0062,1
H-PR-0063,0
H-PR-0064,8
H-PR-0065,2
H-PR-0066,0
H-PR-0067,1
H-PR-0068,0
H-PR-0069,1
H-PR-0070,8
H-PR-0071,4
H-PR-0072,5
H-PR-0073,4
H-PR-0074,6
H-PR-0075,5
H-PR-0076,4
H-PR-0077,0
H-PR-0078,3
H-PR-0079,11
H-PR-0080,1
H-PR-0081,
H-PR-0082,1
H-PR-0083,0
H-PR-0084,0
H-PR-0085,16
H-PR-0086,
H-PR-0087,
H-PR-0089,28
H-PR-0090,5
H-PR-0091,1
H-PR-0092,1
H-PR-0093,12
H-PR-0094,10
H-PR-0095,16
H-PR-0096,18
H-PR-0097,12
H-PR-0098,10
H-PR-0099,
H-PR-0100,43
H-PR-0101,1
H-PR-0102,13
H-PR-0103,3
H-PR-0104,6
H-PR-0105,4
H-PR-0106,
H-PR-0107,
H-PR-0108,0
H-PR-0109,0
H-PR-0110,
H-PR-0111,4
H-PR-0112,0
H-PR-0113,
H-PR-0114,0
H-PR-0115,5
H-PR-0116,7
H-PR-0117,7
H-PR-0118,
H-PR-0119,1
H-PR-0120,
H-PR-0121,14
H-PR-0122,1
H-PR-0123,0
H-PR-0124,0
H-PR-0125,0
H-PR-0126,9
H-PR-0127,0
H-PR-0128,22
H-PR-0129,
H-PR-0130,
H-PR-0131,13
H-PR-0132,13
H-PR-0133,
H-PR-0134,0
H-PR-0135,22
H-PR-0136,22
H-PR-0137,
H-PR-0138,23
H-PR-0139,39
H-PR-0140,
H-PR-0141,
H-PR-0142,15
H-PR-0143,
H-PR-0144,11
H-PR-0145,0
H-PR-0146,
H-PR-0147,
H-PR-0148,4
H-PR-0149,
H-PR-0150,
H-PR-0151,
H-PR-0152,39
H-PR-0153,
H-PR-0154,0
H-PR-0155,
H-PR-0156,
H-PR-0157,
H-PR-0158,10
H-PR-0159,
H-PR-0160,
H-PR-0161,1
H-PR-0162,0
H-PR-0163,
H-PR-0164,
H-PR-0165,0
H-PR-0166,0
H-PR-0167,1
H-PR-0168,
H-PR-0169,0
H-PR-0170,
H-PR-0171,27
H-PR-0172,39
H-PR-0173,
H-PR-0174,0
H-PR-0175,20
H-PR-0176,15
H-PR-0177,2
H-PR-0178,0
H-PR-0179,4
H-PR-0180,12
H-PR-0181,11
H-PR-0182,7
H-PR-0183,21
H-PR-0184,0
H-PR-0185,0
H-PR-0186,0
H-PR-0187,
H-PR-0188,0
H-PR-0189,0
H-PR-0190,29
H-PR-0191,
H-PR-0192,
H-PR-0193,35
H-PR-0194,0
H-PR-0195,8
H-PR-0196,0
H-PR-0197,2
H-PR-0198,0
H-PR-0199,
H-PR-0200,30
H-PR-0201,0
H-PR-0202,0
H-PR-0203,12
H-PR-0204,
H-PR-0205,1
H-PR-0206,0
H-PR-0207,
H-PR-0208,
H-PR-0209,0
H-PR-0210,11
H-PR-0211,15
H-PR-0212,0
H-PR-0213,0
H-PR-0214,17
H-PR-0215,6
H-PR-0216,1
H-PR-0217,1
H-PR-0218,2
H-PR-0219,1
H-PR-0220,6
H-PR-0221,4
H-PR-0222,1
H-PR-0223,1
H-PR-0224,2
H-PR-0225,30
H-PR-0226,18
H-PR-0227,0
H-PR-0228,0
H-PR-0229,3
H-PR-0230,0
H-PR-0231,6
H-PR-0232,0
H-PR-0233,0
H-PR-0234,8
H-PR-0235,1
H-PR-0236,5
H-PR-0237,2
H-PR-0238,8
H-PR-0239,0
H-PR-0240,8
H-PR-0241,51
H-PR-0242,
H-PR-0243,8
H-PR-0244,0
H-PR-0245,15
H-PR-0246,0
H-PR-0247,13
H-PR-0248,8
H-PR-0249,4
H-PR-0250,0
H-PR-0251,1
H-PR-0252,0
H-PR-0253,5
H-PR-0254,9
H-PR-0255,2
H-PR-0256,8
H-PR-0257,0
H-PR-0258,6
H-PR-0259,0
H-PR-0260,23
H-PR-0261,1
H-PR-0262,0
H-PR-0263,0
H-PR-0264,0
H-PR-0265,6
H-PR-0266,1
H-PR-0267,20
H-PR-0268,5
H-PR-0269,1
H-PR-0270,3
H-PR-0271,12
H-PR-0272,8
H-PR-0273,23
H-PR-0274,1
H-PR-0275,9
H-PR-0276,17
H-PR-0277,8
H-PR-0278,0
H-PR-0279,3
H-PR-0280,0
H-RU-0001,
H-RU-0002,
H-RU-0003,
H-RU-0004,
H-RU-0005,
H-RU-0006,
H-RU-0007,
H-RU-0008,
H-RU-0009,
H-RU-0010,
H-TL-0001,
H-TL-0002,
H-TL-0003,
H-TL-0004,
H-TL-0005,
H-TL-0006,
H-TL-0007,
H-TL-0008,
H-TL-0009,
H-TL-0010,
H-TL-0011,
H-TL-0012,
H-TL-0013,
H-TL-0014,
H-TL-0015,
H-TL-0016,
H-TL-0017,
H-TL-0018,
H-TL-0019,
H-TL-0020,
H-TL-0021,
H-TL-0022,
H-TL-0023,
H-TL-0024,
H-TL-0025,
H-TL-0026,
H-TL-0027,
H-TL-0028,
H-TL-0029,
H-TL-0030,
H-TL-0031,
H-TL-0032,
H-TL-0033,
H-TL-0034,
H-TL-0035,
H-TL-0036,
H-TL-0037,
H-TL-0038,
H-TL-0039,
H-TL-0040,
H-TL-0041,
H-TL-0042,
H-WC-0001,
H-WC-0002,
H-WC-0003,
H-WC-0004,
H-WC-0005,
H-WC-0006,
H-WC-0007,
H-WC-0008,
H-WC-0009,
H-WC-0010,
H-WC-0011,
SIVI19-007,21
SIVI19-027,13
SIVI19-028,14
SIVI19-029,25
SIVI19-030,27
SIVI19-032,29
SIVI19-039,1
SIVI19-042,8
SIVI19-046,2
SIVI19-057,16
SIVI19-058,5
SIVI19-060,5
SIVI19-062,11
SIVI19-063,9
SIVI19-064,6
SIVI19-066,6
SIVI19-067,8
SIVI19-068,21
SIVI19-069,13
SIVI19-070,
SIVI19-071,11
SIVI19-073,6
SIVI19-074,12
SIVI19-076,14
SIVI19-077,25
SIVI19-078,5
SIVI19-081,10
SIVI19-082,8
SIVI19-083,4
SIVI19-084,15
SIVI19-086,14
SIVI19-088,8
SIVI19-089,18
SIVI19-090,10
SIVI19-092,2
SIVI19-093,9
SIVI19-094,3
SIVI19-096,4
SIVI19-097,19
SIVI19-100,2
SIVI19-116,2
SIVI19-135,2
SIVI19-137,6
SIVI19-139,4
SIVI19-143,2
SIVI19-150,16
SIVI19-153,9
SIVI19-156,4
SIVI19-158,10
SIVI19-160,3
SIVI19-161,16
SIVI19-162,22
SIVI19-163,19
SIVI19-164,15
SIVI19-165,12
SIVI19-167,24
SIVI19-168,20
SIVI19-172,23
SIVI19-173,6
SIVI19-176,6
SIVI19-183,35
SIVI19-184,10
SIVI19-188,2
SIVI19-190,7
SIVI19-193,21
SIVI19-195,14
SIVI19-196,17
SIVI19-198,11
SIVI19-199,6
SIVI19-200,10
SIVI19-202,
SIVI19-204,
SIVI19-206,32
(blank),
Grand Total,2341
