SMR,Structural_Stage,Stand_Composition,total_snags,std.error,df,asymp.LCL,asymp.UCL,removal_flag
dry,Shrub,conif,0.6469622683512667,0.25952356174034186,Inf,0.2947314600958531,1.420140817454952,keep
dry,P-S,conif,1.480170358153071,0.78980489098334,Inf,0.5201380405629698,4.212159308293761,keep
dry,Young,conif,1.2883930762571725,0.5319336211478737,Inf,0.5736093941570305,2.893879939652789,keep
dry,Old,conif,0.5112568426663393,0.29890278407513327,Inf,0.16255114272190446,1.608008130833838,keep
dry,Shrub,decid,1.1504608587574896,0.4269531382935401,Inf,0.5558764725203397,2.381032932608227,keep
dry,P-S,decid,2.632113408542072,1.3600869410463423,Inf,0.9560153110011845,7.246767824431193,keep
dry,Young,decid,2.2910853962247586,0.9420168456652943,Inf,1.0234249124537873,5.128927612489969,keep
dry,Old,decid,0.9091426425199314,0.5387289495176016,Inf,0.28460146243820217,2.9042027309596032,keep
mesic,Shrub,conif,0.889276493490588,0.2757256960426332,Inf,0.48430225502967716,1.632890769477124,keep
mesic,P-S,conif,2.0345555996975073,0.7864790706747882,Inf,0.9537368603785409,4.340208143593754,keep
mesic,Young,conif,1.7709497649860695,0.32637439942180063,Inf,1.2340574934922284,2.541423788310691,keep
mesic,Mature,conif,1.7154085093066072,0.3759076304448871,Inf,1.1164485719308663,2.635702555212487,keep
mesic,Old,conif,0.7027437527045102,0.31669357338539145,Inf,0.29053634779653614,1.699783127689972,keep
mesic,Shrub,decid,1.581356206415663,0.40442439488089615,Inf,0.9579413617313428,2.610480715698192,keep
mesic,P-S,decid,3.617949140037002,1.2749224156586079,Inf,1.8134647475260701,7.2179820411459685,keep
mesic,Young,decid,3.149191980908602,0.4981564676746864,Inf,2.3096778321728912,4.293849988285586,keep
mesic,Mature,decid,3.0504257253921834,0.5842387721215564,Inf,2.0957159040309667,4.440056540219363,keep
mesic,Old,decid,1.2496543009892038,0.5656349804932713,Inf,0.5146450978272415,3.0343937571227633,keep
moist,Shrub,conif,0.5085339116486829,0.16689320234887814,Inf,0.2672811552903165,0.9675457254583323,keep
moist,P-S,conif,1.1634632481060354,0.4562390217003663,Inf,0.5394653580644061,2.509237543167388,keep
moist,Young,conif,1.012719910976949,0.2608811604760518,Inf,0.6112460128771829,1.6778868025029268,keep
moist,Mature,conif,0.980958572163538,0.23088328572782185,Inf,0.6184543381839656,1.5559430355469304,keep
moist,Old,conif,0.40186492285065845,0.1816287389720817,Inf,0.16571701159468055,0.9745252745249818,keep
moist,Shrub,decid,0.9043005895747207,0.22355914828041382,Inf,0.5570327016035709,1.4680638209409305,keep
moist,P-S,decid,2.068928889717108,0.6944378011348463,Inf,1.0716155760257315,3.994405126678825,keep
moist,Young,decid,1.8008695026875412,0.3671259331587021,Inf,1.2076914097061398,2.685397063890025,keep
moist,Mature,decid,1.7443898918754854,0.29292824928222116,Inf,1.2551764228920415,2.4242776070205787,keep
moist,Old,decid,0.7146164264347175,0.31165890098032756,Inf,0.30398105583153545,1.6799620474156787,keep
wet,Shrub,conif,0.1838761452692572,0.07484273543313312,Inf,0.08280614153286647,0.4083083231895466,keep
wet,P-S,conif,0.4206860787918927,0.23903682282348462,Inf,0.13813361202530616,1.2811999505006522,keep
wet,Young,conif,0.36618016852436,0.17166824421749985,Inf,0.14609811305457987,0.9177936183914682,keep
wet,Shrub,decid,0.3269778136066355,0.11632982210079644,Inf,0.16281105990239825,0.6566783033970092,keep
wet,P-S,decid,0.7480851529527908,0.40232750908035586,Inf,0.260715303145039,2.1465230054296844,keep
wet,Young,decid,0.6511600007432994,0.29300129805436925,Inf,0.26957156672969174,1.5729008504564643,keep
