Analysis,Structural_Stage,Mean,SE,df,LCL,UCL
Conif,2,0.041666667,0.044602598,Inf,0.00511222,0.339600221
Conif,3,0.24691358,0.075390185,Inf,0.135721108,0.449202906
Conif,4,0.066666667,0.074039732,Inf,0.0075608,0.587827303
Conif,5,1.114583333,0.238578654,Inf,0.732674804,1.695562616
Conif,6,0.441860465,0.114397648,Inf,0.266016832,0.733941042
Conif,7,0.8,0.450249188,Inf,0.265475216,2.410771183
Decid,2,0.125,0.078355008,Inf,0.036588346,0.427048544
Decid,3,0.802469136,0.145869452,Inf,0.561953673,1.145924912
Decid,4,2.4,0.84215722,Inf,1.206495222,4.774158982
Decid,5,2.309278351,0.320061933,Inf,1.759953696,3.030060684
Decid,6,1.953488372,0.293567006,Inf,1.455102773,2.622575456
Decid,7,0.666666667,0.294657782,Inf,0.280342539,1.585362127
Total,2,0.166666667,0.089207422,Inf,0.058377807,0.475827699
Total,3,1.049382716,0.157671567,Inf,0.781698725,1.408732097
Total,4,2.466666667,0.720865165,Inf,1.391083129,4.373889899
Total,5,3.4375,0.378936312,Inf,2.76955273,4.266539547
Total,6,2.395348837,0.293727844,Inf,1.883609282,3.046117954
Total,7,1.466666667,0.47260651,Inf,0.779915033,2.758135206
