cond((Int)),disp((Int)),cond(BHC),cond(year),cond(day),cond(hour),df,logLik,AICc,delta,weight
8.558153091240628,+,+,+,NA,-9.342105672864532,11,-270.89929612050014,564.9877814301894,0,0.650300649905613
7.378419405563168,+,+,+,2.105108772475245,-9.104998465851827,12,-270.6052975637471,566.6223598333765,1.6345784031871062,0.287190452338453
-0.14742897472260658,+,+,+,NA,NA,10,-274.79936270630816,570.5852724978181,5.597491067628653,0.0395944620181317
-1.4233695049608401,+,+,+,2.8049633297604206,NA,11,-274.26761248956393,571.724414168317,6.736632738127582,0.0224012872830785
8.273372250782371,+,+,NA,NA,-9.212721762282436,10,-279.7100209229241,580.40658893105,15.418807500860567,0.000291717632615445
6.791938730297317,+,+,NA,2.7594545394980563,-8.964645482484057,11,-279.2716348621842,581.7324589135576,16.74467748336815,0.000150332774204362
-0.3217814767198041,+,+,NA,NA,NA,9,-283.2272316830217,585.2580347946149,20.270253364425457,2.57919748454184e-05
-1.83916005614744,+,+,NA,3.3528442622518297,NA,10,-282.5745566633835,586.1356604119687,21.147878981779286,1.66307032835314e-05
5.078625907505664,+,NA,+,5.183253975227422,-7.75832493409184,5,-288.121051117119,586.5052601289749,21.517478698785453,1.38246153447608e-05
7.789453262746277,+,NA,+,NA,-8.105324223528433,4,-289.5517511481926,587.2781747854681,22.29039335527864,9.39326925043339e-06
-2.3275215860047322,+,NA,+,5.527802387100031,NA,4,-290.52398673022594,589.2226459495348,24.234864519345365,3.55287741131689e-06
0.21675204684828844,+,NA,+,NA,NA,3,-292.1827898723446,590.4699275707761,25.48214614058668,1.90430479117589e-06
6.835040176725622,+,NA,NA,NA,-7.569030701307217,3,-301.56776197706444,609.2398717802158,44.25209035002638,1.59917084046778e-10
-2.9532053904241375,+,NA,NA,5.942421314523385,NA,3,-302.1299375556145,610.364222937316,45.376441507126515,9.1147573302705e-11
-0.22475245378087894,+,NA,NA,NA,NA,2,-303.719046111656,611.4900402752601,46.50225884507063,5.19131021740797e-11
