p(Int),psi(Int),p(BHC),p(Year),p(day),p(hour),df,logLik,AICc,delta,weight
16.05744058,1.802516089,+,+,NA,-17.21053686,11,-128.4611951,281.4366759,0,0.480730002
-0.039006178,1.742379195,+,+,NA,NA,10,-130.4132237,282.901919,1.465243113,0.231061574
15.81944052,1.800733454,+,+,0.596295996,-17.22843757,12,-128.4601168,283.9202335,2.483557654,0.138868433
0.220948751,1.74344337,+,+,-0.607189183,NA,11,-130.4121211,285.3385279,3.901852062,0.068332108
24.50746628,1.943483782,+,NA,-23.92990975,-15.40364861,11,-131.1583114,286.8309085,5.394232652,0.032401006
9.999905006,1.836753029,+,NA,-23.61918021,NA,10,-132.8659539,287.8073796,6.370703668,0.019884767
14.55809676,1.033034477,NA,+,NA,-14.28722804,4,-140.3308919,289.0189267,7.582250828,0.010850166
1.200084002,1.041143399,NA,+,NA,NA,3,-141.6069819,289.4263531,7.989677256,0.00885044
10.81733782,1.050057094,NA,+,9.725010571,-14.7669648,5,-140.0774798,290.6955002,9.258824332,0.004692163
-2.133034456,1.048796828,NA,+,7.746403532,NA,4,-141.4173175,291.191778,9.755102066,0.003661067
9.857893479,0.852007956,NA,NA,-20.50078681,NA,3,-144.7931807,295.7987508,14.36207492,0.000365777
12.10926131,1.719890258,+,NA,NA,-13.25108925,10,-137.7509994,297.5774705,16.14079457,0.000150305
-0.300698225,1.74509108,+,NA,NA,NA,9,-139.0636871,297.8096172,16.37294128,0.000133833
16.57967852,0.594961222,NA,NA,NA,-16.98698047,3,-148.2317877,302.6759648,21.23928891,1.17E-05
0.663245367,0.608103308,NA,NA,NA,NA,2,-149.8591969,303.8236569,22.38698106,6.62E-06
