Species,Effect,group,term,estimate,std.error,statistic,p.value
ATTW,fixed,NA,(Intercept),-2.605376672,0.509,-5.119,0.000
ATTW,fixed,NA,CMF,0.648576801,0.571,1.135,0.256
ATTW,fixed,NA,DSH,-1.534650609,1.157,-1.326,0.185
ATTW,fixed,NA,DYF,-1.737161816,0.855,-2.031,0.042
ATTW,fixed,NA,DMF,-0.160646385,0.595,-0.270,0.787
ATTW,fixed,NA,RSH,-1.713095884,1.142,-1.500,0.134
ATTW,fixed,NA,RYF,-1.467759888,1.163,-1.262,0.207
ATTW,fixed,NA,RMF,-0.473638881,0.690,-0.686,0.493
ATTW,fixed,NA,WRI/WSH,-0.433839664,0.947,-0.458,0.647
ATTW,ran_pars,Station,sd__(Intercept),1.347906331,NA,NA,NA
BBWO,fixed,NA,(Intercept),-25.50667814,40520.594,-0.001,0.999
BBWO,fixed,NA,CMF,21.49934515,40520.594,0.001,1.000
BBWO,fixed,NA,DSH,-1.704410584,153453.673,0.000,1.000
BBWO,fixed,NA,DYF,-4.348968591,355866.333,0.000,1.000
BBWO,fixed,NA,DMF,21.28717089,40520.594,0.001,1.000
BBWO,fixed,NA,RSH,-2.371819826,192904.738,0.000,1.000
BBWO,fixed,NA,RYF,-1.630783178,153189.585,0.000,1.000
BBWO,fixed,NA,RMF,-3.161415125,243150.901,0.000,1.000
BBWO,fixed,NA,WRI/WSH,-1.636602176,175712.684,0.000,1.000
BBWO,ran_pars,Station,sd__(Intercept),5.01E-11,NA,NA,NA
DOWO,fixed,NA,(Intercept),-3.619613224,0.759,-4.766,0.000
DOWO,fixed,NA,CMF,-28.32284798,753730.385,0.000,1.000
DOWO,fixed,NA,DSH,-20.35854592,19028.762,-0.001,0.999
DOWO,fixed,NA,DYF,0.263972084,0.740,0.357,0.721
DOWO,fixed,NA,DMF,-0.586434254,0.884,-0.664,0.507
DOWO,fixed,NA,RSH,-0.061781475,0.957,-0.065,0.949
DOWO,fixed,NA,RYF,0.703890842,0.911,0.773,0.440
DOWO,fixed,NA,RMF,-0.650073431,0.997,-0.652,0.514
DOWO,fixed,NA,WRI/WSH,-19.07057306,11944.879,-0.002,0.999
DOWO,ran_pars,Station,sd__(Intercept),1.664831427,NA,NA,NA
HAWo,fixed,NA,(Intercept),-2.975265883,0.500,-5.946,0.000
HAWo,fixed,NA,CMF,1.31848994,0.567,2.325,0.020
HAWo,fixed,NA,DSH,1.458700337,0.621,2.350,0.019
HAWo,fixed,NA,DYF,0.678896023,0.585,1.161,0.246
HAWo,fixed,NA,DMF,1.160516468,0.559,2.078,0.038
HAWo,fixed,NA,RSH,0.494419457,0.715,0.691,0.489
HAWo,fixed,NA,RYF,-0.636326201,1.128,-0.564,0.573
HAWo,fixed,NA,RMF,0.974349239,0.604,1.614,0.106
HAWo,fixed,NA,WRI/WSH,1.272036381,0.705,1.804,0.071
HAWo,ran_pars,Station,sd__(Intercept),0.789942312,NA,NA,NA
NOFL,fixed,NA,(Intercept),-2.684256655,0.463,-5.800,0.000
NOFL,fixed,NA,CMF,0.124141038,0.608,0.204,0.838
NOFL,fixed,NA,DSH,1.152226965,0.584,1.974,0.048
NOFL,fixed,NA,DYF,-0.844902798,0.725,-1.166,0.244
NOFL,fixed,NA,DMF,0.309409197,0.556,0.557,0.578
NOFL,fixed,NA,RSH,1.450296284,0.534,2.714,0.007
NOFL,fixed,NA,RYF,0.419152091,0.694,0.604,0.546
NOFL,fixed,NA,RMF,-1.527109694,1.097,-1.392,0.164
NOFL,fixed,NA,WRI/WSH,0.015674609,0.870,0.018,0.986
NOFL,ran_pars,Station,sd__(Intercept),0.854363406,NA,NA,NA
PIWO,fixed,NA,(Intercept),-4.096951803,0.786,-5.212,0.000
PIWO,fixed,NA,CMF,-0.778031943,1.253,-0.621,0.535
PIWO,fixed,NA,DSH,0.78927278,1.016,0.777,0.437
PIWO,fixed,NA,DYF,0.687668613,0.833,0.825,0.409
PIWO,fixed,NA,DMF,1.089905408,0.812,1.343,0.179
PIWO,fixed,NA,RSH,-0.380097563,1.279,-0.297,0.766
PIWO,fixed,NA,RYF,-0.135649097,1.303,-0.104,0.917
PIWO,fixed,NA,RMF,1.478825766,0.828,1.787,0.074
PIWO,fixed,NA,WRI/WSH,0.155141851,1.339,0.116,0.908
PIWO,ran_pars,Station,sd__(Intercept),1.505991084,NA,NA,NA
YBSA,fixed,NA,(Intercept),-1.590381388,0.293,-5.437,0.000
YBSA,fixed,NA,CMF,-0.242987254,0.439,-0.554,0.580
YBSA,fixed,NA,DSH,0.479552305,0.463,1.036,0.300
YBSA,fixed,NA,DYF,0.456523482,0.363,1.256,0.209
YBSA,fixed,NA,DMF,0.326378453,0.378,0.863,0.388
YBSA,fixed,NA,RSH,-0.128388014,0.487,-0.264,0.792
YBSA,fixed,NA,RYF,0.082336387,0.511,0.161,0.872
YBSA,fixed,NA,RMF,0.048978011,0.428,0.114,0.909
YBSA,fixed,NA,WRI/WSH,0.317396138,0.546,0.582,0.561
YBSA,ran_pars,Station,sd__(Intercept),0.904004248,NA,NA,NA
